,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
18507,Chelsea,Diego Costa,Forward,8,1.0,96.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
17878,Chelsea,Cesc Fàbregas,Midfielder,8,1.0,96.0,1.0,5.0,2.0,8.0,5.0,0.0,0.0,1.0,0.0,8.0,6.0,8.0,4.0,0.0,1.0,5.0,52.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
41270,Unknown,Unknown,Unknown,8,1.0,96.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1875,0.333333333333,3.0
41328,Chelsea,César Azpilicueta,Defender,8,1.0,96.0,0.0,0.0,0.0,12.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,3.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
19419,Chelsea,Gary Cahill,Defender,8,1.0,96.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
116594,Chelsea,N'Golo Kanté,Midfielder,8,1.0,96.0,0.0,2.0,0.0,11.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,5.0,2.0,3.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
42786,Chelsea,Eden Hazard,Midfielder,8,1.0,85.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,23.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
82263,Unknown,Unknown,Unknown,8,1.0,96.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
49013,Chelsea,Victor Moses,Midfielder,8,1.0,84.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.333333333333,3.0
28654,Unknown,Unknown,Unknown,80,1.0,96.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.1875,0.0
