,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
9808,Manchester United,Zlatan Ibrahimovic,Forward,1,1.0,96.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,7.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.111111111111,3.0
59846,Manchester United,Ander Herrera,Midfielder,1,1.0,96.0,0.0,2.0,0.0,9.0,9.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,64.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0625,0.111111111111,3.0
58877,Manchester United,Daley Blind,Defender,1,1.0,64.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,3.0,26.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0625,0.111111111111,3.0
55909,Manchester United,Chris Smalling,Defender,1,1.0,71.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.111111111111,3.0
197365,Manchester United,Eric Bailly,Defender,1,1.0,96.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,0.0,0.0,1.0,5.0,4.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.111111111111,3.0
20695,Manchester United,Antonio Valencia,Defender,1,1.0,96.0,0.0,0.0,0.0,4.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.111111111111,3.0
55317,Middlesbrough,Bernardo,Defender,25,1.0,96.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,1.0,5.0,2.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0625,0.0
12002,Middlesbrough,Stewart Downing,Midfielder,25,1.0,63.0,0.0,2.0,0.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0625,0.0
41184,Manchester United,Marouane Fellaini,Midfielder,1,1.0,64.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,3.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.111111111111,3.0
101184,Arsenal,Calum Chambers,Defender,25,1.0,96.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,0.0,5.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.111111111111,0.0625,0.0
