,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
83283,Southampton,Nathan Redmond,Midfielder,20,1.0,95.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,3.0
97032,Southampton,Virgil van Dijk,Defender,20,1.0,95.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,9.0,8.0,1.0,0.0,4.0,2.0,16.0,0.0,0.0,1.0,0.0,0.0,0.166666666667,0.0,3.0
18759,Unknown,Unknown,Unknown,21,1.0,95.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.166666666667,0.0
78356,Southampton,Charlie Austin,Forward,20,1.0,74.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,3.0
60706,West Ham United,Adrián,Goalkeeper,21,1.0,95.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0
57531,West Ham United,Michail Antonio,Midfielder,21,1.0,95.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,4.0,0.0,1.0,10.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0
55037,West Ham United,Cheikhou Kouyaté,Midfielder,21,1.0,95.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0
40146,Southampton,Ryan Bertrand,Defender,20,1.0,95.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,3.0
78056,Southampton,Oriol Romeu,Midfielder,20,1.0,95.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.166666666667,0.0,3.0
38580,Southampton,José Fonte,Defender,20,1.0,95.0,0.0,1.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,3.0
58822,Southampton,Cédric Soares,Defender,20,1.0,88.0,0.0,1.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,3.0
40383,Southampton,Fraser Forster,Goalkeeper,20,1.0,95.0,0.0,0.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,3.0
17339,Southampton,Steven Davis,Midfielder,20,1.0,95.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,3.0
18073,West Ham United,Mark Noble,Midfielder,21,1.0,82.0,0.0,1.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.166666666667,0.0
40669,West Ham United,Angelo Ogbonna,Defender,21,1.0,95.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0
