,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
59846,Manchester United,Ander Herrera,Midfielder,1,1.0,96.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,35.0,2.0,0.0,1.0,2.0,2.0,1.0,4.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.2,1.0
76359,Manchester United,Phil Jones,Defender,1,1.0,96.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.2,1.0
148225,Manchester United,Anthony Martial,Forward,1,1.0,62.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.2,1.0
80254,Arsenal,Carl Jenkinson,Defender,3,1.0,83.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0,0.0,6.0,3.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0833333333333,1.0
58893,Manchester United,Marcos Rojo,Defender,1,1.0,96.0,0.0,1.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,2.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.2,1.0
153256,Arsenal,Mohamed Elneny,Midfielder,3,1.0,73.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0833333333333,1.0
20467,Arsenal,Theo Walcott,Forward,3,1.0,96.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,1.0,2.0,0.0,6.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0833333333333,1.0
74208,Manchester United,Paul Pogba,Midfielder,1,1.0,96.0,0.0,1.0,0.0,6.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,3.0,2.0,2.0,2.0,8.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.2,1.0
40002,Manchester United,Matteo Darmian,Defender,1,1.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0833333333333,0.2,1.0
176297,Manchester United,Marcus Rashford,Forward,1,1.0,96.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,6.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.2,1.0
