,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
121599,Watford,Abdoulaye Doucouré,Midfielder,57,1.0,94.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.210526315789,0.0
44302,Watford,Adlène Guédioura,Midfielder,57,1.0,94.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.210526315789,0.0
78830,Tottenham Hotspur,Harry Kane,Forward,6,1.0,77.0,2.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.210526315789,0.166666666667,3.0
77794,Tottenham Hotspur,Kieran Trippier,Defender,6,1.0,94.0,0.0,0.0,0.0,9.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,29.0,0.0,0.0,4.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.210526315789,0.166666666667,3.0
37742,Sunderland,Younes Kaboul,Defender,57,1.0,94.0,1.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.166666666667,0.210526315789,0.0
85971,Tottenham Hotspur,Son Heung-Min,Midfielder,6,1.0,94.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210526315789,0.166666666667,3.0
80607,Tottenham Hotspur,Christian Eriksen,Midfielder,6,1.0,94.0,0.0,3.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,35.0,1.0,0.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.210526315789,0.166666666667,3.0
97485,Tottenham Hotspur,Kevin Wimmer,Defender,6,1.0,94.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.210526315789,0.166666666667,3.0
44604,Watford,Nordin Amrabat,Midfielder,57,1.0,74.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.210526315789,0.0
38290,Tottenham Hotspur,Danny Rose,Defender,6,1.0,68.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.210526315789,0.166666666667,3.0
