,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
54756,Tottenham Hotspur,Victor Wanyama,Midfielder,6,1.0,99.0,0.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
39104,Tottenham Hotspur,Mousa Dembélé,Midfielder,6,1.0,62.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
38290,Tottenham Hotspur,Danny Rose,Defender,6,1.0,77.0,1.0,3.0,1.0,7.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
28244,Burnley,George Boyd,Midfielder,90,1.0,83.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
106611,Burnley,Michael Keane,Defender,90,1.0,99.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
83314,Unknown,Unknown,Unknown,90,1.0,99.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
51927,Burnley,Ben Mee,Defender,90,1.0,99.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,1.0,5.0,4.0,1.0,0.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
40616,Burnley,Stephen Ward,Defender,90,1.0,99.0,0.0,0.0,0.0,14.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
39194,Tottenham Hotspur,Jan Vertonghen,Defender,6,1.0,99.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,14.0,12.0,0.0,1.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
44699,Burnley,Ashley Barnes,Forward,90,1.0,79.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,20.0,5.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0666666666667,0.0
39158,Burnley,Scott Arfield,Midfielder,90,1.0,99.0,0.0,2.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,3.0,2.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
15982,Burnley,Dean Marney,Midfielder,90,1.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
21205,Burnley,Tom Heaton,Goalkeeper,90,1.0,99.0,0.0,0.0,0.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
68983,Burnley,Matthew Lowton,Defender,90,1.0,99.0,0.0,0.0,0.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.2,0.0666666666667,0.0
73426,Burnley,Andre Gray,Forward,90,1.0,99.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
78830,Tottenham Hotspur,Harry Kane,Forward,6,1.0,99.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
108823,Tottenham Hotspur,Dele Alli,Midfielder,6,1.0,73.0,1.0,6.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
93264,Tottenham Hotspur,Eric Dier,Midfielder,6,1.0,99.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
58621,Tottenham Hotspur,Kyle Walker,Defender,6,1.0,99.0,0.0,0.0,0.0,8.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,30.0,4.0,3.0,3.0,1.0,7.0,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
157668,Tottenham Hotspur,Harry Winks,Midfielder,6,1.0,99.0,0.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
37915,Tottenham Hotspur,Hugo Lloris,Goalkeeper,6,1.0,99.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
80607,Tottenham Hotspur,Christian Eriksen,Midfielder,6,1.0,99.0,0.0,7.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,6.0,0.0,0.0,4.0,21.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
45268,Unknown,Unknown,Unknown,6,1.0,37.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0666666666667,0.2,3.0
85971,Tottenham Hotspur,Son Heung-Min,Midfielder,6,1.0,26.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
115556,Tottenham Hotspur,Ben Davies,Defender,6,1.0,23.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.2,3.0
40399,Burnley,Sam Vokes,Forward,90,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
15944,Burnley,Michael Kightly,Midfielder,90,1.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
39847,Unknown,Unknown,Unknown,90,1.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666667,0.0
