,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
37572,Manchester City,Sergio Agüero,Forward,43,1.0,89.0,2.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0952380952381,0.1,3.0
42593,Manchester City,Aleksandar Kolarov,Defender,43,1.0,98.0,0.0,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0952380952381,0.1,3.0
68983,Burnley,Matthew Lowton,Defender,90,1.0,98.0,0.0,0.0,0.0,8.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0952380952381,0.0
86173,Manchester City,Nolito,Forward,43,1.0,77.0,0.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,10.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0952380952381,0.1,3.0
60586,Burnley,Johann Berg Gudmundsson,Midfielder,90,1.0,43.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0952380952381,0.0
40399,Burnley,Sam Vokes,Forward,90,1.0,98.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,20.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0952380952381,0.0
57410,Manchester City,Nicolás Otamendi,Defender,43,1.0,98.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34.0,1.0,0.0,3.0,0.0,19.0,12.0,2.0,0.0,2.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0952380952381,0.1,3.0
33148,Unknown,Unknown,Unknown,43,1.0,98.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952381,0.1,3.0
106611,Burnley,Michael Keane,Defender,90,1.0,98.0,0.0,3.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0952380952381,0.0
17336,Manchester City,Gaël Clichy,Defender,43,1.0,98.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0952380952381,0.1,3.0
