,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
9808,Manchester United,Zlatan Ibrahimovic,Forward,1,1.0,100.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.3,0.0
197365,Manchester United,Eric Bailly,Defender,1,1.0,100.0,0.0,1.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.3,0.0
74208,Manchester United,Paul Pogba,Midfielder,1,1.0,100.0,0.0,2.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0666666666667,0.3,0.0
41945,Watford,Sebastian Prödl,Defender,57,1.0,100.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0666666666667,3.0
41725,Watford,Troy Deeney,Forward,57,1.0,100.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,2.0,15.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0666666666667,3.0
55909,Manchester United,Chris Smalling,Defender,1,1.0,100.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,0.0,8.0,6.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.3,0.0
41184,Manchester United,Marouane Fellaini,Midfielder,1,1.0,100.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,45.0,2.0,2.0,2.0,2.0,8.0,6.0,5.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0666666666667,0.3,0.0
20695,Manchester United,Antonio Valencia,Defender,1,1.0,61.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.3,0.0
148225,Manchester United,Anthony Martial,Forward,1,1.0,37.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.3,0.0
106760,Manchester United,Luke Shaw,Defender,1,1.0,85.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.3,0.0
176297,Manchester United,Marcus Rashford,Forward,1,1.0,100.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.3,0.0
52153,Watford,Miguel Britos,Defender,57,1.0,100.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0666666666667,3.0
13017,Manchester United,Wayne Rooney,Forward,1,1.0,100.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,5.0,2.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0666666666667,0.3,0.0
40868,Watford,José Holebas,Defender,57,1.0,100.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0666666666667,3.0
18656,Watford,Heurelho Gomes,Goalkeeper,57,1.0,100.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0666666666667,3.0
