,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
12413,Leicester City,Robert Huth,Defender,13,1.0,95.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,9.0,4.0,1.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
73426,Burnley,Andre Gray,Forward,90,1.0,95.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
106611,Burnley,Michael Keane,Defender,90,1.0,95.0,0.0,1.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,1.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
203341,Unknown,Unknown,Unknown,13,1.0,95.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,2.0,13.0,5.0,3.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
68983,Burnley,Matthew Lowton,Defender,90,1.0,95.0,0.0,0.0,0.0,13.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0416666666667,0.0,3.0
21205,Burnley,Tom Heaton,Goalkeeper,90,1.0,95.0,0.0,0.0,0.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
15033,Leicester City,Wes Morgan,Defender,13,1.0,95.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
61603,Leicester City,Daniel Drinkwater,Midfielder,13,1.0,95.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
103025,Leicester City,Riyad Mahrez,Midfielder,13,1.0,95.0,0.0,4.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,3.0,1.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
40725,Leicester City,Danny Simpson,Defender,13,1.0,95.0,0.0,0.0,0.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
40616,Burnley,Stephen Ward,Defender,90,1.0,95.0,0.0,1.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,21.0,0.0,0.0,3.0,0.0,8.0,7.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
44699,Burnley,Ashley Barnes,Forward,90,1.0,78.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,20.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
28244,Burnley,George Boyd,Midfielder,90,1.0,95.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,2.0,7.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
37402,Leicester City,Christian Fuchs,Defender,13,1.0,95.0,0.0,0.0,0.0,11.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,23.0,2.0,2.0,2.0,0.0,7.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
17745,Leicester City,Kasper Schmeichel,Goalkeeper,13,1.0,95.0,0.0,0.0,0.0,35.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
101668,Leicester City,Jamie Vardy,Forward,13,1.0,95.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
15276,Unknown,Unknown,Unknown,90,1.0,95.0,0.0,3.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,4.0,1.0,5.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
172632,Leicester City,Demarai Gray,Midfielder,13,1.0,66.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
51938,Leicester City,Marc Albrighton,Midfielder,13,1.0,76.0,0.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,9.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
83314,Unknown,Unknown,Unknown,90,1.0,88.0,0.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
51927,Burnley,Ben Mee,Defender,90,1.0,95.0,0.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
39847,Unknown,Unknown,Unknown,90,1.0,33.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
39158,Burnley,Scott Arfield,Midfielder,90,1.0,61.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,4.0,8.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
90714,Leicester City,Ahmed Musa,Forward,13,1.0,29.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
78412,Leicester City,Shinji Okazaki,Forward,13,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0
40399,Burnley,Sam Vokes,Forward,90,1.0,16.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
17761,Burnley,James Tarkowski,Defender,90,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,3.0
