,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
40555,Stoke City,Joe Allen,Midfielder,110,1.0,67.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
20208,Stoke City,Charlie Adam,Midfielder,110,1.0,96.0,0.0,2.0,1.0,13.0,7.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,3.0,27.0,5.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
59949,Everton,Seamus Coleman,Defender,11,1.0,96.0,0.0,2.0,0.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
37869,Stoke City,Ryan Shawcross,Defender,110,1.0,96.0,1.0,2.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,6.0,5.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
3773,Stoke City,Peter Crouch,Forward,110,1.0,96.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
173807,Everton,Tom Davies,Midfielder,11,1.0,96.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
39487,Stoke City,Erik Pieters,Defender,110,1.0,96.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,4.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
88894,Everton,Ross Barkley,Midfielder,11,1.0,96.0,0.0,3.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
12150,Stoke City,Glenn Whelan,Midfielder,110,1.0,96.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,26.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
42774,Manchester United,Morgan Schneiderlin,Midfielder,11,1.0,96.0,0.0,3.0,2.0,9.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,55.0,3.0,3.0,1.0,1.0,8.0,3.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
194164,Everton,Mason Holgate,Defender,11,1.0,45.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
19159,Everton,Ashley Williams,Defender,11,1.0,96.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
78315,Everton,Joel Robles,Goalkeeper,11,1.0,96.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
121221,Everton,Ramiro Funes Mori,Defender,11,1.0,96.0,0.0,1.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
41464,Stoke City,Marko Arnautovic,Forward,110,1.0,89.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
17997,Stoke City,Phil Bardsley,Defender,110,1.0,96.0,0.0,1.0,0.0,9.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.133333333333,0.0,3.0
19568,Stoke City,Ibrahim Afellay,Midfielder,110,1.0,96.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
85352,Unknown,Unknown,Unknown,110,1.0,96.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
12745,Everton,Leighton Baines,Defender,11,1.0,96.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
66749,Everton,Romelu Lukaku,Forward,11,1.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
26901,Everton,Kevin Mirallas,Midfielder,11,1.0,69.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
6744,Unknown,Unknown,Unknown,110,1.0,96.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
50472,Everton,James McCarthy,Midfielder,11,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0
91972,West Bromwich Albion,Saido Berahino,Forward,110,1.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,3.0
