,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
38439,Watford,Etienne Capoue,Midfielder,57,1.0,97.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,20.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
44302,Watford,Adlène Guédioura,Midfielder,57,1.0,68.0,0.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
37869,Stoke City,Ryan Shawcross,Defender,110,1.0,97.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,8.0,6.0,2.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
40868,Watford,José Holebas,Defender,57,1.0,97.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
9047,Stoke City,Glen Johnson,Defender,110,1.0,97.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
21123,Watford,Valon Behrami,Midfielder,57,1.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
6744,Unknown,Unknown,Unknown,110,1.0,97.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
85352,Unknown,Unknown,Unknown,110,1.0,97.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
39487,Stoke City,Erik Pieters,Defender,110,1.0,97.0,0.0,0.0,0.0,7.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,3.0,1.0,2.0,0.0,5.0,2.0,2.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
20208,Stoke City,Charlie Adam,Midfielder,110,1.0,83.0,0.0,2.0,0.0,14.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,2.0,4.0,26.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
37742,Sunderland,Younes Kaboul,Defender,57,1.0,97.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,2.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
12813,Stoke City,Jonathan Walters,Forward,110,1.0,97.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
40555,Stoke City,Joe Allen,Midfielder,110,1.0,97.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,21.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,3.0
52153,Watford,Miguel Britos,Defender,57,1.0,97.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
