age,country,player_id,team_id,player_name,team,position,R1,R2,R3,R4,R5,R6,appearance,Total
33,England,15982,90,Dean Marney,Burnley,Midfielder,0.6719152863,1.9516362804,1.639,2.078,0.696,4.1884439595,1872,49
26,Wales,41792,3,Aaron Ramsey,Arsenal,Midfielder,2.0274514639,2.1344164304,2.2,4.156,0.8352,0.9229168861,1266,49
33,England,12002,25,Stewart Downing,Middlesbrough,Midfielder,2.8664230617,1.6342273308,2.239,3.117,1.2528,1.1336046147,2285,49
22,Netherlands,126184,91,Nathan Aké,Bournemouth,Defender,0.5348200424,1.1978439729,3.917,1.039,3.67488,2.7608245656,921,48
27,Uruguay,59856,88,Abel Hernández,Hull City,Forward,0.9962057487,1.5078858718,7.756,3.117,0.4176,0.2014776973,1515,48
25,England,75115,91,Callum Wilson,Bournemouth,Forward,0.6981873353,1.6389715419,8.634,0.0,0.4176,0.6747128547,1401,48
30,Republic of Ireland,20452,20,Shane Long,Southampton,Forward,1.2858200887,1.6500396288,6.117,1.039,1.00224,1.1376101781,1403,48
32,Argentina,20658,43,Pablo Zabaleta,Manchester City,Defender,1.0872488005,2.0733004274,1.439,1.039,3.67488,1.4727691814,1181,48
27,Ghana,45124,21,André Ayew,West Ham United,Forward,1.1354691265,1.5137951091,7.595,2.078,0.50112,0.4593194324,1460,48
34,Republic of Ireland,12813,110,Jonathan Walters,Stoke City,Forward,1.2180771577,1.5193991853,6.556,2.078,0.58464,1.0442722335,1421,48
21,England,194164,11,Mason Holgate,Everton,Defender,0.8574082291,1.884137931,0.6,1.039,4.5936,2.2498391191,1366,48
31,Japan,78412,13,Shinji Okazaki,Leicester City,Forward,1.2369377545,1.9580335731,4.917,1.039,0.75168,1.0161446875,1633,48
22,Ghana,155569,13,Daniel Amartey,Leicester City,Midfielder,1.3409065619,2.1534772182,2.039,1.039,0.5568,2.5032053282,1796,48
36,Argentina,20310,43,Willy Caballero,Manchester City,Goalkeeper,0.2979368224,2.5701200896,0.0,0.0,7.0992,0.0984274638,1464,48
32,Scotland,17997,110,Phil Bardsley,Stoke City,Defender,0.9523999984,1.3301425662,0.4,0.0,6.43104,2.2563325856,1244,47
-1,Unknown,144660,56,Didier Ndong,Sunderland,Midfielder,1.6023174764,1.6601659962,2.039,0.0,0.0,3.5944589478,2717,47
30,Brazil,43191,14,Lucas Leiva,Liverpool,Midfielder,1.0466400904,2.2680622406,0.2,3.117,1.2528,2.4369249868,1220,47
29,Senegal,80935,56,Papy Djilobodji,Sunderland,Defender,0.6065155641,1.0369163399,0.4,0.0,1.83744,6.5339733744,1697,47
-1,Unknown,52940,57,Daryl Janmaat,Watford,Defender,1.5977891134,1.8673389242,3.678,1.039,0.0,1.8742058739,1714,47
-1,Unknown,203341,13,Onyinye Wilfred Ndidi,Leicester City,Midfielder,0.8181712269,1.8309352518,3.278,1.039,0.0,3.0453958842,1527,47
23,Netherlands,165990,6,Vincent Janssen,Tottenham Hotspur,Forward,1.2598091005,2.0272289218,4.878,2.078,0.8352,0.3000398609,958,47
32,Switzerland,21123,57,Valon Behrami,Watford,Midfielder,0.7007656116,2.2551876156,0.0,0.0,0.8352,3.8468638509,2070,46
31,Spain,86173,43,Nolito,Manchester City,Forward,1.2287911368,1.4799257073,6.556,2.078,0.33408,0.3938839518,843,46
28,England,44683,20,Jay Rodriguez,Southampton,Forward,0.7212022923,1.1772556439,8.195,2.078,0.58464,0.4416567732,1001,46
28,England,78356,20,Charlie Austin,Southampton,Forward,0.7956843244,1.0725845627,9.634,1.039,0.4176,0.4154454908,912,46
25,Spain,59779,21,Pedro Obiang,West Ham United,Midfielder,0.9840950624,1.9679336419,1.439,1.039,0.8352,2.9878474832,1898,46
33,Switzerland,11974,88,Eldin Jakupovic,Hull City,Goalkeeper,0.3902737949,2.1259697836,0.0,0.0,7.0992,0.1108721575,2136,46
28,England,40755,14,Daniel Sturridge,Liverpool,Forward,1.1505136492,1.4463544452,7.317,1.039,0.58464,0.0213299904,778,46
25,Spain,80789,80,Jordi Amat,Swansea City,Defender,0.5222562594,1.5836685848,0.8,0.0,1.83744,4.5321336359,1517,46
28,Congo DR,55452,31,Yannick Bolasie,Crystal Palace,Midfielder,2.2267424794,1.5098371369,2.239,4.156,0.4176,0.8091420522,1104,46
-1,Unknown,205651,43,Gabriel Fernando de Jesus,Manchester City,Midfielder,0.7592330169,1.0638611846,8.434,3.117,0.0,0.0845796976,606,45
-1,Unknown,33148,43,Claudio Bravo,Manchester City,Goalkeeper,0.4469856996,3.7147364136,0.0,0.0,0.0,0.0923499893,2116,45
-1,Unknown,39167,88,Andrea Ranocchia,Hull City,Defender,0.5520350625,1.3277358105,2.878,2.078,0.0,3.8172422734,1334,45
30,England,20037,91,Marc Pugh,Bournemouth,Midfielder,1.7279623807,1.5734594746,3.278,2.078,0.696,1.0697065206,1345,45
28,Northern Ireland,41338,57,Craig Cathcart,Watford,Defender,0.6033838812,1.3749018217,0.2,1.039,2.75616,3.8797779805,1262,45
30,Republic of Ireland,32259,21,Darren Randolph,West Ham United,Goalkeeper,0.4931761834,2.2406241307,0.0,0.0,5.67936,0.0857049983,2161,45
29,Wales,13152,13,Andy King,Leicester City,Midfielder,0.7327032508,1.7529976019,2.439,0.0,0.696,3.0347157867,1462,45
35,Netherlands,10318,11,Maarten Stekelenburg,Everton,Goalkeeper,0.3523494359,2.4731034483,1.239,0.0,4.25952,0.1013951486,1793,45
-1,Unknown,88900,20,Jack Stephens,Southampton,Defender,0.6532460072,1.735893437,0.0,1.039,0.0,4.650597076,1476,45
-1,Unknown,39847,90,Steven Defour,Burnley,Midfielder,2.3138112536,1.1394970377,2.239,3.117,0.0,1.5245860167,1093,44
21,England,172632,13,Demarai Gray,Leicester City,Midfielder,1.6711656892,1.396882494,2.639,3.117,0.9744,0.6600491233,1165,44
31,England,15237,91,Andrew Surman,Bournemouth,Midfielder,1.3048149071,2.1385010554,0.4,1.039,0.5568,1.7716866217,1828,44
27,England,40387,91,Dan Gosling,Bournemouth,Midfielder,1.0523299416,1.6682180006,2.678,0.0,1.1136,1.9521244222,1426,44
30,Spain,60706,21,Adrián,West Ham United,Goalkeeper,0.3501124502,1.4992792656,0.0,0.0,8.51904,0.0549252913,1446,44
22,Denmark,132015,20,Pierre-Emile Højbjerg,Southampton,Midfielder,1.6948875202,1.644159231,0.8,0.0,0.9744,2.288147532,1398,44
28,England,42427,3,Kieran Gibbs,Arsenal,Defender,1.2897324567,1.262778757,0.4,1.039,5.51232,0.7422806773,749,44
23,England,111234,56,Jordan Pickford,Sunderland,Goalkeeper,0.9420142551,1.6571108509,0.0,0.0,5.67936,0.1635684837,2712,43
32,Spain,17740,43,Jesús Navas,Manchester City,Midfielder,1.9001074056,2.0136118461,0.4,0.0,0.8352,0.864536679,1147,43
31,Uruguay,49464,25,Cristhian Stuani,Middlesbrough,Forward,0.7870189436,1.0234482759,6.156,0.0,0.58464,1.3530341491,1431,43
26,Italy,77454,56,Fabio Borini,Sunderland,Forward,1.3568903887,1.0839655787,4.878,1.039,0.33408,1.2671836996,1774,43
27,England,77794,6,Kieran Trippier,Tottenham Hotspur,Defender,0.9688952414,1.1278841496,0.0,3.117,4.5936,1.1667073815,533,43
-1,Unknown,45268,6,Moussa Sissoko,Tottenham Hotspur,Midfielder,1.8440559984,2.1182214517,0.4,2.078,0.0,0.6142500939,1001,43
29,Senegal,61858,110,Mame Biram Diouf,Stoke City,Forward,1.1775065429,1.5365071283,1.439,2.078,0.75168,1.6163829339,1437,42
-1,Unknown,20046,57,Stefano Okaka,Watford,Striker,1.2538123549,1.0426157237,6.356,0.0,0.0,0.4514359689,957,42
27,Iceland,60586,90,Johann Berg Gudmundsson,Burnley,Midfielder,1.5873669985,1.0936252447,2.639,2.078,0.5568,1.4730783753,1049,42
33,Serbia,41135,8,Branislav Ivanovic,Chelsea,Defender,0.5240066015,1.4726530612,0.4,0.0,5.51232,0.9351981546,656,42
22,Belgium,154976,56,Adnan Januzaj,Sunderland,Midfielder,2.6781649672,1.0204185549,1.4,3.117,0.4176,0.6948137612,1670,42
31,Belgium,17476,43,Vincent Kompany,Manchester City,Defender,0.4248357907,1.3710818237,2.478,0.0,2.75616,1.4254658094,781,42
24,England,113564,21,Sam Byram,West Ham United,Defender,0.7566340441,1.3126469919,0.0,1.039,3.67488,2.144598167,1266,42
22,England,106760,1,Luke Shaw,Manchester United,Defender,1.0987668187,1.2580060731,0.2,1.039,4.5936,0.8767295758,725,42
25,England,93464,6,Tom Carroll,Tottenham Hotspur,Midfielder,1.5803196156,1.4511718634,1.439,2.078,0.8352,1.2735701142,1387,42
21,Nigeria,173515,43,Kelechi Iheanacho,Manchester City,Forward,0.9569645742,1.0673722776,5.556,3.117,0.33408,0.1314389095,608,42
28,Ecuador,148179,21,Enner Valencia,West Ham United,Forward,0.6835471809,1.2281061123,5.317,1.039,0.58464,0.4680480938,945,41
24,France,121599,57,Abdoulaye Doucouré,Watford,Midfielder,1.1388791091,1.5034584104,2.439,0.0,0.696,1.451790861,1380,41
-1,Unknown,96764,57,M'Baye Niang,Watford,Striker,0.9899880666,1.3291443918,4.478,2.078,0.0,0.5275635579,1220,41
27,Costa Rica,77762,11,Bryan Oviedo,Everton,Defender,1.0084156566,1.1898094397,0.2,0.0,2.75616,2.4239165248,1311,41
32,Sweden,19057,56,Sebastian Larsson,Sunderland,Midfielder,1.9685762408,0.898823769,0.6,1.039,0.696,2.5864383555,1471,41
-1,Unknown,6744,110,Lee Grant,Stoke City,Goalkeeper,0.7588659219,2.8955193483,0.0,0.0,0.0,0.1426367688,2708,41
27,Algeria,44336,21,Sofiane Feghouli,West Ham United,Midfielder,1.639413837,1.0835040336,3.078,3.117,0.4176,0.4966285673,1045,41
22,England,156074,3,Rob Holding,Arsenal,Defender,0.6137459558,1.2863820983,0.4,0.0,3.67488,1.7169398989,763,41
25,Argentina,62974,6,Erik Lamela,Tottenham Hotspur,Midfielder,1.7205238319,1.3627718431,2.439,1.039,0.5568,0.3078253916,644,40
-1,Unknown,128198,20,Sofiane Boufal,Southampton,Striker,1.8914970851,1.3666044538,2.239,0.0,0.0,0.8487952103,1162,40
32,Spain,19524,3,Santiago Cazorla,Arsenal,Midfielder,1.2258356982,1.1110429918,2.878,2.078,0.5568,0.7105020747,659,40
26,Belgium,85624,57,Christian Kabasele,Watford,Defender,0.4244672501,0.9216853733,2.678,0.0,3.67488,1.2487806284,846,40
24,France,105717,21,Arthur Masuaku,West Ham United,Defender,0.9438511752,1.0959461852,0.0,1.039,3.67488,1.4775708375,1057,40
27,Germany,59859,43,Ilkay Gündogan,Manchester City,Midfielder,1.1111845425,1.2727712192,3.917,1.039,0.4176,0.3027090934,725,40
28,France,42774,1,Morgan Schneiderlin,Manchester United,Midfielder,0.7398241974,1.4755036996,1.639,0.0,1.1136,1.7937656465,1062,40
28,Nigeria,58498,57,Odion Ighalo,Watford,Forward,0.9049468268,1.5099951861,3.039,1.039,0.16704,0.4381866246,1386,39
-1,Unknown,113688,88,Oumar Niasse,Hull City,Striker,0.7688412346,1.0868721927,5.756,0.0,0.0,0.3541080732,1092,39
27,Spain,75880,25,Daniel Ayala,Middlesbrough,Defender,0.293051984,0.692311622,2.039,0.0,3.67488,2.1786281389,968,39
-1,Unknown,49957,88,Kamil Grosicki,Hull City,Midfielder,2.0992410096,1.1525622703,1.2,3.117,0.0,0.3133310087,1158,39
-1,Unknown,61566,57,Roberto Pereyra,Watford,Midfielder,1.4106984287,1.2016772657,2.878,2.078,0.0,0.282519553,1103,39
-1,Unknown,28654,80,Martin Olsson,Swansea City,Defender,0.9192032552,1.3038906147,2.878,0.0,0.0,1.5444387186,1249,39
-1,Unknown,28593,56,Victor Anichebe,Sunderland,Striker,1.2700591278,0.8157238149,4.917,0.0,0.0,0.7493776595,1335,39
25,Spain,61595,110,Marc Muniesa,Stoke City,Defender,0.464133618,0.758095723,1.639,0.0,3.67488,1.8496685873,709,39
27,Norway,111847,88,Adama Diomande,Hull City,Forward,1.1511788721,1.271998775,3.278,0.0,0.08352,0.7288494776,1278,39
24,Germany,104542,14,Loris Karius,Liverpool,Goalkeeper,0.1909252215,1.7884228487,0.0,0.0,4.25952,0.0322058392,962,39
28,Korea Republic,76542,80,Ki Sung-yueng,Swansea City,Midfielder,1.0765383212,1.4343840709,0.2,1.039,0.5568,1.3313476626,1374,38
-1,Unknown,66975,31,Luka Milivojevic,Crystal Palace,Midfielder,0.6353306689,1.1703857552,2.678,0.0,0.0,1.9574182954,1216,38
-1,Unknown,159533,25,Adama Traoré,Middlesbrough,Striker,2.1730760637,1.1972413793,0.4,1.039,0.0,0.9725345294,1674,38
31,Colombia,42738,57,Juan Zuñiga,Watford,Defender,0.5203703727,1.0132002331,1.239,0.0,3.67488,0.8040006388,930,38
25,Gambia,111787,80,Modou Barrow,Swansea City,Forward,1.9424077037,1.2569129704,0.6,2.078,0.25056,0.5294414385,1204,38
32,England,18892,1,Ashley Young,Manchester United,Midfielder,1.1570523236,1.4263186098,0.0,1.039,0.8352,1.1980639848,822,38
35,Spain,42996,80,Angel Rangel,Swansea City,Defender,0.7730246483,0.9771350003,1.639,0.0,1.83744,1.4525522785,936,37
26,Netherlands,85654,20,Jordy Clasie,Southampton,Midfielder,0.6267420421,1.2619333725,1.839,1.039,0.696,0.8691600677,1073,37
37,England,1718,8,John Terry,Chelsea,Defender,0.3285983313,1.156122449,1.439,0.0,2.75616,0.7363372727,515,37
25,England,17761,90,James Tarkowski,Burnley,Defender,0.4222151041,0.6150990414,0.0,0.0,4.5936,1.8302351867,590,37
-1,Unknown,49688,88,Alfred N'Diaye,Hull City,Midfielder,0.5566119226,1.2401490404,1.639,0.0,0.0,2.1085189401,1246,37
21,England,157668,6,Harry Winks,Tottenham Hotspur,Midfielder,0.7825878002,1.2908242613,1.439,1.039,0.9744,0.6863010855,610,37
-1,Unknown,15276,90,Joey Barton,Burnley,Midfielder,1.0071783245,1.2395809495,1.639,0.0,0.0,1.6095604442,1189,37
23,Scotland,96306,80,Stephen Kingsley,Swansea City,Defender,0.6568530436,1.1493863625,0.2,0.0,2.75616,1.3054494378,1101,37
-1,Unknown,49440,35,Hal Robson-Kanu,West Bromwich Albion,Striker,0.7504096012,0.9537395557,4.317,2.078,0.0,0.2230699925,832,37
28,Colombia,55317,25,Bernardo,Middlesbrough,Defender,0.3191235887,0.7423754789,0.2,0.0,3.67488,2.4144481033,1038,37
-1,Unknown,61548,20,Manolo Gabbiadini,Southampton,Striker,0.4867394564,0.8408968885,5.956,0.0,0.0,0.1743096653,715,36
25,Nigeria,90714,13,Ahmed Musa,Leicester City,Forward,0.7832551467,1.0335731415,3.278,1.039,0.16704,0.3116951179,862,36
26,England,49384,56,Jack Rodwell,Sunderland,Midfielder,0.8305022209,0.9134884668,0.8,1.039,0.4176,2.3170563329,1495,36
23,Serbia,99323,14,Lazar Markovic,Liverpool,Midfielder,0.8384320594,1.0430788077,3.078,0.0,0.4176,0.5730710265,1048,36
30,Wales,18805,31,Joe Ledley,Crystal Palace,Midfielder,0.6062081896,1.186748056,1.239,0.0,0.2784,1.4415473977,1233,35
27,England,50175,3,Danny Welbeck,Arsenal,Forward,0.302319488,1.2105142157,3.278,0.0,0.4176,0.4242385542,718,35
26,Tunisia,60165,56,Wahbi Khazri,Sunderland,Midfielder,1.7385444577,0.5871989409,3.039,0.0,0.2784,0.2479143263,961,35
22,England,103912,91,Jordon Ibe,Bournemouth,Midfielder,1.5937238164,1.2786551715,0.2,0.0,0.4176,0.660062303,1093,35
25,Netherlands,97615,80,Mike van der Hoorn,Swansea City,Defender,0.2592574148,0.7380709884,1.439,0.0,1.83744,2.0387057821,707,35
26,Brazil,61262,8,Oscar,Chelsea,Midfielder,1.3547096943,1.0753061225,0.4,1.039,0.5568,0.6878128245,479,35
28,Curaçao,56192,20,Cuco Martina,Southampton,Defender,0.6808475967,0.7456344438,0.0,0.0,4.5936,0.7014730227,634,35
28,Republic of Ireland,53371,88,David Meyler,Hull City,Midfielder,0.6476928895,1.0739332381,1.639,0.0,0.5568,1.2421699017,1079,35
-1,Unknown,90517,90,Robbie Brady,Burnley,Midfielder,1.4933349391,0.7443740941,1.639,2.078,0.0,0.8965547218,714,35
